gubun,mem_id,cor_id,cit_id,cde_id,cde_price,cor_datetime
akbonara,1184810,abnr201611184,5565,7478,1000,2016-11-18 00:00:00
akbonara,1230539,abnr2016111841,309,374,1000,2016-11-18 00:00:00
akbonara,1235752,abnr2016111849,5485,7354,500,2016-11-18 00:00:00
akbonara,1235752,abnr2016111850,6122,8069,500,2016-11-18 00:00:00
akbonara,1235752,abnr2016111851,5366,7198,500,2016-11-18 00:00:00
akbonara,1235752,abnr2016111852,4487,6103,500,2016-11-18 00:00:00
akbonara,1235771,abnr2016111854,4514,6148,500,2016-11-18 00:00:00
akbonara,1232189,abnr2016111857,6647,8797,700,2016-11-18 00:00:00
akbonara,1197059,abnr2016111858,6935,9085,1000,2016-11-18 00:00:00
akbonara,1227906,abnr2016111859,468,571,500,2016-11-18 00:00:00
akbonara,1185955,abnr2016111860,2768,3544,1000,2016-11-18 00:00:00
akbonara,1185955,abnr2016111861,2537,3254,1000,2016-11-18 00:00:00
akbonara,1195620,abnr2016111864,3187,4348,1000,2016-11-18 00:00:00
akbonara,1225634,abnr2016111866,2469,3163,1000,2016-11-18 00:00:00
akbonara,1225634,abnr2016111867,778,986,500,2016-11-18 00:00:00
akbonara,1225634,abnr2016111868,820,1049,500,2016-11-18 00:00:00
akbonara,1235752,abnr201611187,6288,8309,500,2016-11-18 00:00:00
akbonara,1225634,abnr2016111870,4848,6573,500,2016-11-18 00:00:00
akbonara,1206880,abnr2016111871,6980,9130,1000,2016-11-18 00:00:00
akbonara,1225585,abnr2016111874,1725,2266,1000,2016-11-18 00:00:00
akbonara,1235781,abnr2016111875,6084,8029,500,2016-11-18 00:00:00
akbonara,1224987,abnr2016111876,6201,8193,500,2016-11-18 00:00:00
akbonara,1235752,abnr201611188,4500,6122,500,2016-11-18 00:00:00
akbonara,1216088,abnr2016111881,6201,8193,500,2016-11-18 00:00:00
akbonara,1210544,abnr2016111884,3398,1517,1000,2016-11-18 00:00:00
akbonara,1202891,abnr2016111886,4174,5591,500,2016-11-18 00:00:00
akbonara,1235784,abnr2016111887,6232,8235,500,2016-11-18 00:00:00
akbonara,1235784,abnr2016111888,6202,8195,500,2016-11-18 00:00:00
akbonara,1213493,abnr2016111891,1732,2274,1000,2016-11-18 00:00:00
akbonara,1216088,abnr2016111894,22824,8307,500,2016-11-18 00:00:00
akbonara,1233473,abnr2016111898,6472,8616,500,2016-11-18 00:00:00
akbonara,1233473,abnr2016111899,6011,7955,500,2016-11-18 00:00:00
akbonara,1224376,abnr2016111910,5549,7445,1000,2016-11-19 00:00:00
akbonara,1225271,abnr20161119102,6129,8080,500,2016-11-19 00:00:00
akbonara,1092800,abnr20161119103,1913,2515,1000,2016-11-19 00:00:00
akbonara,1225271,abnr20161119104,6232,8235,500,2016-11-19 00:00:00
akbonara,1055042,abnr20161119107,6136,8092,500,2016-11-19 00:00:00
akbonara,1055042,abnr20161119108,7333,9483,1000,2016-11-19 00:00:00
akbonara,1234072,abnr20161119109,4504,6131,500,2016-11-19 00:00:00
akbonara,1217326,abnr2016111911,3089,3968,1000,2016-11-19 00:00:00
akbonara,1234072,abnr20161119110,4520,6157,500,2016-11-19 00:00:00
akbonara,1229092,abnr20161119114,3681,4924,1000,2016-11-19 00:00:00
akbonara,1208076,abnr20161119115,3764,5066,1000,2016-11-19 00:00:00
akbonara,1235829,abnr2016111912,8418,12085,2000,2016-11-19 00:00:00
akbonara,1208076,abnr20161119120,6279,8297,1000,2016-11-19 00:00:00
akbonara,1171709,abnr2016111913,4793,4180,1000,2016-11-19 00:00:00
akbonara,1235830,abnr2016111914,5457,7319,1000,2016-11-19 00:00:00
akbonara,1120143,abnr2016111919,1229,1569,1000,2016-11-19 00:00:00
akbonara,1125908,abnr2016111921,5565,7477,500,2016-11-19 00:00:00
akbonara,1125908,abnr2016111923,6923,9073,1000,2016-11-19 00:00:00
akbonara,1125908,abnr2016111924,10008,8715,700,2016-11-19 00:00:00
akbonara,1176094,abnr2016111928,3779,5090,500,2016-11-19 00:00:00
akbonara,1234644,abnr2016111929,7231,9381,1000,2016-11-19 00:00:00
akbonara,1232189,abnr201611193,6561,8711,700,2016-11-19 00:00:00
akbonara,1225051,abnr2016111930,3538,4651,1000,2016-11-19 00:00:00
akbonara,1235839,abnr2016111939,3471,4518,1000,2016-11-19 00:00:00
akbonara,1229599,abnr2016111942,6259,8272,1000,2016-11-19 00:00:00
akbonara,1222836,abnr2016111948,3872,5233,900,2016-11-19 00:00:00
akbonara,1215843,abnr2016111951,567,698,1000,2016-11-19 00:00:00
akbonara,1235842,abnr2016111954,6232,8235,500,2016-11-19 00:00:00
akbonara,1231610,abnr2016111956,6080,8025,500,2016-11-19 00:00:00
akbonara,1224376,abnr201611196,3608,4789,1000,2016-11-19 00:00:00
akbonara,1199286,abnr2016111962,6950,9100,900,2016-11-19 00:00:00
akbonara,1221463,abnr2016111963,7333,9483,1000,2016-11-19 00:00:00
akbonara,1228709,abnr2016111964,4935,6729,1000,2016-11-19 00:00:00
akbonara,1212748,abnr2016111965,3781,5094,1000,2016-11-19 00:00:00
akbonara,1235828,abnr201611198,188,229,500,2016-11-19 00:00:00
akbonara,1226463,abnr2016111990,731,924,500,2016-11-19 00:00:00
akbonara,1226463,abnr2016111991,834,1068,500,2016-11-19 00:00:00
akbonara,1211036,abnr2016111994,3764,5066,1000,2016-11-19 00:00:00
akbonara,1211036,abnr2016111995,6235,8239,500,2016-11-19 00:00:00
akbonara,1211036,abnr2016111996,6232,8235,500,2016-11-19 00:00:00
akbonara,1225585,abnr2016111997,4223,5677,500,2016-11-19 00:00:00
akbonara,1211036,abnr2016111998,6562,8712,700,2016-11-19 00:00:00
akbonara,1187690,abnr20161120100,6193,8185,500,2016-11-20 00:00:00
akbonara,1227920,abnr20161120107,6284,8305,500,2016-11-20 00:00:00
akbonara,1234844,abnr20161120108,5838,7779,500,2016-11-20 00:00:00
akbonara,1235741,abnr20161120110,15815,4611,1000,2016-11-20 00:00:00
akbonara,1234844,abnr20161120111,4179,5603,500,2016-11-20 00:00:00
akbonara,1234844,abnr20161120112,4178,5601,500,2016-11-20 00:00:00
akbonara,1218958,abnr2016112017,6729,8879,700,2016-11-20 00:00:00
akbonara,1218958,abnr2016112018,1799,2361,1000,2016-11-20 00:00:00
